計劃編號,計劃名稱,True Label,Predict Label,Predict Probability,First 5 Label,First 5 Probability
MP10602-0276,水旱災整備及應變科技之研究(4/4),災害防救,災害防救,0.991,災害防救;網路通訊/4G/5G/5G+/6G;氣候變遷與減碳;物聯網;政策規劃與推動,0.991;0.002;0.001;0.001;0.001
MP10401-0125,強地動觀測第5期計畫(1/6)-強震即時警報於防災之應用,災害防救,災害防救,0.991,災害防救;網路通訊/4G/5G/5G+/6G;氣候變遷與減碳;物聯網;政策規劃與推動,0.991;0.002;0.001;0.001;0.001
MP10501-0083,加速肝功能量化正子造影劑之產業化(3/4),生技醫藥與精準醫療,生技醫藥與精準醫療,0.992,生技醫藥與精準醫療;產業人才培育;長照與社會福利;工研院與A+;科研設施,0.992;0.001;0.001;0.001;0.001
MP10704-0184,銀髮智慧長照及科技服務創新模式開發計畫(3/4),智慧醫療,智慧醫療,0.944,智慧醫療;國家標準檢驗;長照與社會福利;物聯網;產業人才培育,0.944;0.013;0.007;0.006;0.005
MP10501-0162,醫衛生命科技研究綱要計畫(1/4),生技醫藥與精準醫療,生技醫藥與精準醫療,0.992,生技醫藥與精準醫療;長照與社會福利;產業人才培育;工研院與A+;文化,0.992;0.001;0.001;0.001;0.001
MP10301-0025,國家度量衡標準實驗室整體運作及發展計畫(3/4),國家標準檢驗,國家標準檢驗,0.961,國家標準檢驗;能源;智慧醫療;網路通訊/4G/5G/5G+/6G;氣候變遷與減碳,0.961;0.007;0.006;0.004;0.003
MP10408-0022,加速行動寬頻服務及產業發展計畫(2/3)-推廣校園4G創新應用服務,網路通訊/4G/5G/5G+/6G,網路通訊/4G/5G/5G+/6G,0.988,網路通訊/4G/5G/5G+/6G;產業人才培育;長照與社會福利;災害防救;國家標準檢驗,0.988;0.002;0.002;0.002;0.001
MP1021-0071,奈米國家型科技計畫-奈米技術產業化推動計畫(6/6),化工材料與循環經濟,化工材料與循環經濟,0.972,化工材料與循環經濟;氣候變遷與減碳;水資源管理;農業;生技醫藥與精準醫療,0.972;0.004;0.003;0.002;0.002
MP10802-0242,區域性儲能設備技術示範驗證計畫(4/4),能源,能源,0.991,能源;國家標準檢驗;產業人才培育;農業;氣候變遷與減碳,0.991;0.002;0.001;0.001;0.001
MP10802-0248,永續提供高品質醫療服務(1/4),長照與社會福利,長照與社會福利,0.975,長照與社會福利;網路通訊/4G/5G/5G+/6G;生技醫藥與精準醫療;政策規劃與推動;智慧醫療,0.975;0.006;0.003;0.003;0.002
MP1021-0134,醫療感染控制發展計畫(3/4),防疫,防疫,0.977,防疫;產業人才培育;資安;災害防救;政策規劃與推動,0.977;0.002;0.002;0.002;0.002
MP10212-0052,生技醫藥國家型科技計畫-核心設施及產業推動(5/6),生技醫藥與精準醫療,生技醫藥與精準醫療,0.992,生技醫藥與精準醫療;長照與社會福利;產業人才培育;工研院與A+;科研設施,0.992;0.001;0.001;0.001;0.001
CP10902-0007,智慧創新研究中心推升計畫(4/5),AI、雲端、巨量資料,AI、雲端、巨量資料,0.975,AI、雲端、巨量資料;產業人才培育;晶片半導體;虛擬實境;數位轉型與智慧政府,0.975;0.003;0.003;0.002;0.002
MP1022-0124,產業創新價值卓越計畫(3/4),中小（堅）企業輔導,中小（堅）企業輔導,0.978,中小（堅）企業輔導;產業人才培育;創新創業;數位轉型與智慧政府;政策規劃與推動,0.978;0.003;0.002;0.002;0.002
MP10704-0150,商業服務業經濟情勢分析與我國策略規劃(4/4),政策規劃與推動,政策規劃與推動,0.983,政策規劃與推動;中小（堅）企業輔導;災害防救;數位轉型與智慧政府;創新創業,0.983;0.002;0.002;0.001;0.001
CP10601-0047,強化區域合作─推動中南部智慧機械及航太產業升級計畫(2/4),太空/衛星;智慧製造,太空/衛星;智慧製造,0.92;0.926,智慧製造;太空/衛星;運輸載具;工研院與A+;科研設施,0.926;0.92;0.027;0.022;0.017
MP10704-0028,水體環境污染感測、鑑識調查與物聯網應用研究開發計畫(3/4),環境監測與污染防治,環境監測與污染防治,0.977,環境監測與污染防治;氣候變遷與減碳;國家標準檢驗;長照與社會福利;專利與智財,0.977;0.004;0.003;0.002;0.002
MP10212-0318,健康雲跨領域研究：巨量健康資訊科技之研發與應用(1/4),生技醫藥與精準醫療,生技醫藥與精準醫療,0.992,生技醫藥與精準醫療;產業人才培育;長照與社會福利;工研院與A+;科研設施,0.992;0.001;0.001;0.001;0.001
MP1022-0281,商業服務價值提升計畫(2/4),中小（堅）企業輔導,中小（堅）企業輔導,0.979,中小（堅）企業輔導;產業人才培育;數位轉型與智慧政府;創新創業;工研院與A+,0.979;0.004;0.002;0.002;0.002
MP10401-0015,低碳排放之無機聚合綠色水泥及混凝土製備研究(1/4),化工材料與循環經濟,化工材料與循環經濟,0.974,化工材料與循環經濟;氣候變遷與減碳;水資源管理;農業;傳統產業高值化,0.974;0.003;0.003;0.002;0.002
MP10402-0006,學校防減災及氣候變遷調適教育精進計畫(2/4),災害防救,災害防救,0.991,災害防救;網路通訊/4G/5G/5G+/6G;氣候變遷與減碳;物聯網;政策規劃與推動,0.991;0.002;0.001;0.001;0.001
CP10301-0007,深耕工業基礎技術專案計畫(3/4),產業人才培育,產業人才培育,0.98,產業人才培育;數位轉型與智慧政府;智慧製造;物聯網;資安,0.98;0.003;0.003;0.002;0.002
MP10902-0098,永續林業與生物多樣性綱要計畫(1/4),氣候變遷與減碳,氣候變遷與減碳,0.982,氣候變遷與減碳;能源;災害防救;化工材料與循環經濟;食品安全與食品科技,0.982;0.003;0.002;0.002;0.002
MP1022-0116,海洋防災科技及永續發展計畫(2/4),災害防救,災害防救,0.991,災害防救;網路通訊/4G/5G/5G+/6G;氣候變遷與減碳;物聯網;政策規劃與推動,0.991;0.002;0.001;0.001;0.001
MP10212-0092,能源國家型科技計畫-纖維酒精產業推廣平台及加值化生質精煉技術之研發(2/5),能源,能源,0.992,能源;國家標準檢驗;產業人才培育;氣候變遷與減碳;農業,0.992;0.002;0.001;0.001;0.001
CP10703-0058,海洋科技發展計畫(2/4),海洋科技,海洋科技,0.943,海洋科技;太空/衛星;晶片半導體;農業;網路通訊/4G/5G/5G+/6G,0.943;0.007;0.006;0.006;0.006
MP10802-0142,自動駕駛感知次系統攻堅計畫(3/4),自動駕駛,自動駕駛,0.957,自動駕駛;運輸載具;智慧交通;AI、雲端、巨量資料;數位內容,0.957;0.006;0.004;0.004;0.004
MP10603-0008,跨域數位人才加速躍升計畫(2/4),產業人才培育,產業人才培育,0.982,產業人才培育;數位轉型與智慧政府;資安;能源;物聯網,0.982;0.003;0.003;0.003;0.002
MP10501-0198,關務服務資源整合計畫(2/4),數位轉型與智慧政府,數位轉型與智慧政府,0.987,數位轉型與智慧政府;產業人才培育;電商與物流;中小（堅）企業輔導;生技醫藥與精準醫療,0.987;0.002;0.001;0.001;0.001
MP10602-0120,企業創新研發淬鍊及產學研價值創造綱要計畫(4/4),工研院與A+,工研院與A+,0.934,工研院與A+;產業人才培育;生技醫藥與精準醫療;科研設施;太空/衛星,0.934;0.01;0.009;0.006;0.006
MP10401-0035,核設施除役產生放射性廢棄物處理與處置技術研發(2/4),能源,能源,0.991,能源;國家標準檢驗;產業人才培育;氣候變遷與減碳;農業,0.991;0.002;0.001;0.001;0.001
MP10906-0003,擴大中小企業5G創新服務應用計畫(1/5),數位轉型與智慧政府,數位轉型與智慧政府,0.988,數位轉型與智慧政府;產業人才培育;中小（堅）企業輔導;電商與物流;AI、雲端、巨量資料,0.988;0.002;0.002;0.002;0.001
CP10703-0087,培育優秀學者養成計畫(1/4),人才補助與延攬,人才補助與延攬,0.969,人才補助與延攬;科研計畫補助;數位轉型與智慧政府;食品安全與食品科技;文化,0.969;0.004;0.004;0.004;0.004
MP10501-0061,「提昇法醫鑑識量能計畫」(1/4),警政與法務,警政與法務,0.972,警政與法務;資安;災害防救;專利與智財;化工材料與循環經濟,0.972;0.004;0.003;0.003;0.003
CP10703-0078,研發成果推廣及科學園區業務推動計畫(1/1),創新創業,創新創業,0.986,創新創業;農業;政策規劃與推動;物聯網;生技醫藥與精準醫療,0.986;0.002;0.002;0.001;0.001
MP1022-0004,區域創新走廊產業科技發展綱要計畫(3/4),傳統產業高值化,傳統產業高值化,0.974,傳統產業高值化;運輸載具;化工材料與循環經濟;電商與物流;能源,0.974;0.007;0.004;0.003;0.003
MP10605-0021,中小企業行動支付普及推升計畫(1/4),數位轉型與智慧政府,數位轉型與智慧政府,0.987,數位轉型與智慧政府;產業人才培育;電商與物流;中小（堅）企業輔導;物聯網,0.987;0.002;0.001;0.001;0.001
CP1024-0023,國立科學工業園區實驗高級中學綠能科技教學拓展計畫(1/1),校園人才培育,校園人才培育,0.971,校園人才培育;產業人才培育;人才補助與延攬;網路通訊/4G/5G/5G+/6G;政策規劃與推動,0.971;0.004;0.003;0.003;0.003
MP10212-0131,科技計畫規劃與管理計畫(2/4),政策規劃與推動,政策規劃與推動,0.984,政策規劃與推動;中小（堅）企業輔導;災害防救;創新創業;數位轉型與智慧政府,0.984;0.002;0.002;0.001;0.001
MP10602-0282,民生產業轉型輔導計畫(1/4),傳統產業高值化,傳統產業高值化,0.973,傳統產業高值化;運輸載具;化工材料與循環經濟;電商與物流;能源,0.973;0.006;0.004;0.003;0.003
MP10212-0195,學校防減災及氣候變遷調適教育精進計畫(1/4),災害防救,災害防救,0.991,災害防救;網路通訊/4G/5G/5G+/6G;氣候變遷與減碳;物聯網;政策規劃與推動,0.991;0.002;0.001;0.001;0.001
MP10501-0255,新一代數位學習計畫(4/4),數位學習,數位學習,0.954,數位學習;數位內容;物聯網;自動駕駛;產業人才培育,0.954;0.004;0.004;0.003;0.003
MP10902-0030,文化科技創新應用研究計畫(1/1),文化,文化,0.975,文化;生技醫藥與精準醫療;數位內容;政策規劃與推動;科研計畫補助,0.975;0.003;0.002;0.002;0.002
MP10602-0158,生醫產業與新農業跨領域人才培育計畫(1/4),產業人才培育;生技醫藥與精準醫療,產業人才培育;生技醫藥與精準醫療,0.96;0.962,生技醫藥與精準醫療;產業人才培育;網路通訊/4G/5G/5G+/6G;資安;能源,0.962;0.96;0.009;0.008;0.008
MP10902-0163,110年度「節約能源技術研發計畫」(3/3),能源,能源,0.992,能源;國家標準檢驗;產業人才培育;氣候變遷與減碳;農業,0.992;0.002;0.001;0.001;0.001
MP10401-0238,餐飲業科技應用推動計畫(1/1),中小（堅）企業輔導,中小（堅）企業輔導,0.978,中小（堅）企業輔導;產業人才培育;創新創業;數位轉型與智慧政府;工研院與A+,0.978;0.003;0.002;0.002;0.002
MP10401-0272,商業場域科技應用示範推動計畫(1/4),中小（堅）企業輔導,中小（堅）企業輔導,0.976,中小（堅）企業輔導;產業人才培育;政策規劃與推動;工研院與A+;創新創業,0.976;0.003;0.002;0.002;0.002
MP10602-0252,107年度「能源效率管理與節能技術推廣輔導」(1/1),能源,能源,0.992,能源;國家標準檢驗;產業人才培育;氣候變遷與減碳;農業,0.992;0.002;0.001;0.001;0.001
MP10301-0021,推動工業合作計畫(2/4),國防;運輸載具,國防;運輸載具,0.926;0.953,運輸載具;國防;傳統產業高值化;智慧製造;能源,0.953;0.926;0.015;0.01;0.01
CP10703-0049,創新醫療器材計畫(3/4),生技醫藥與精準醫療,生技醫藥與精準醫療,0.992,生技醫藥與精準醫療;長照與社會福利;產業人才培育;工研院與A+;文化,0.992;0.001;0.001;0.001;0.001
MP10212-0047,智財布局及戰略研析推動計畫(3/4),專利與智財,專利與智財,0.962,專利與智財;警政與法務;環境監測與污染防治;職安;政策規劃與推動,0.962;0.004;0.004;0.004;0.003
MP10704-0318,AI領航推動計畫(1/4),AI、雲端、巨量資料,AI、雲端、巨量資料,0.978,AI、雲端、巨量資料;虛擬實境;產業人才培育;晶片半導體;數位轉型與智慧政府,0.978;0.003;0.003;0.003;0.002
MP10902-0201,建置國家級人體生物資料庫整合平台(2/4),生技醫藥與精準醫療,生技醫藥與精準醫療,0.992,生技醫藥與精準醫療;產業人才培育;長照與社會福利;工研院與A+;科研設施,0.992;0.001;0.001;0.001;0.001
MP10602-0269,離岸風場區塊開發海域環境建構計畫(2/4),能源,能源,0.992,能源;國家標準檢驗;產業人才培育;農業;氣候變遷與減碳,0.992;0.002;0.001;0.001;0.001
MP10602-0118,加速肝功能量化正子造影劑之產業化(4/4),生技醫藥與精準醫療,生技醫藥與精準醫療,0.992,生技醫藥與精準醫療;長照與社會福利;產業人才培育;工研院與A+;科研設施,0.992;0.001;0.001;0.001;0.001
MP10212-0300,低碳運輸系統發展計畫(1/4),氣候變遷與減碳,氣候變遷與減碳,0.982,氣候變遷與減碳;能源;化工材料與循環經濟;災害防救;食品安全與食品科技,0.982;0.003;0.002;0.002;0.002
MP10602-0205,數位學習深耕計畫(1/4),數位學習,數位學習,0.954,數位學習;數位內容;物聯網;產業人才培育;自動駕駛,0.954;0.004;0.004;0.004;0.003
MP10401-0184,商業行政資訊雲端應用擴充及效能提升計畫(1/4),數位轉型與智慧政府,數位轉型與智慧政府,0.987,數位轉型與智慧政府;產業人才培育;電商與物流;中小（堅）企業輔導;生技醫藥與精準醫療,0.987;0.002;0.001;0.001;0.001
MP10401-0049,錸-188MN-16ET/利比多肝癌治療新藥之開發與應用研究(4/4),生技醫藥與精準醫療,生技醫藥與精準醫療,0.992,生技醫藥與精準醫療;長照與社會福利;產業人才培育;工研院與A+;科研設施,0.992;0.001;0.001;0.001;0.001
MP10602-0025,再生能源憑證中心及檢測驗證發展計畫(2/4),能源;國家標準檢驗,能源;國家標準檢驗,0.97;0.96,能源;國家標準檢驗;智慧醫療;網路通訊/4G/5G/5G+/6G;氣候變遷與減碳,0.97;0.96;0.01;0.007;0.005
CP10301-0003,台灣光子源周邊實驗設施興建計畫(1/1),科研設施,科研設施,0.975,科研設施;資安;產業人才培育;生技醫藥與精準醫療;中小（堅）企業輔導,0.975;0.003;0.003;0.003;0.002
MP10212-0353,生物技術研發成果產業化輔導計畫(2/4),食品安全與食品科技,食品安全與食品科技,0.968,食品安全與食品科技;農業;氣候變遷與減碳;生技醫藥與精準醫療;農業生技,0.968;0.006;0.004;0.003;0.003
CP1022-0062,新竹科學工業園區－業務推展(1/4),園區管理,園區管理,0.965,園區管理;產業人才培育;創新創業;災害防救;環境監測與污染防治,0.965;0.004;0.004;0.003;0.003
MP10602-0236,大學學習生態系統創新計畫(3/4),校園人才培育,校園人才培育,0.97,校園人才培育;產業人才培育;人才補助與延攬;政策規劃與推動;網路通訊/4G/5G/5G+/6G,0.97;0.004;0.003;0.003;0.003
MP10902-0081,工業循環創新技術開發與應用計畫(2/4),化工材料與循環經濟,化工材料與循環經濟,0.971,化工材料與循環經濟;氣候變遷與減碳;農業;水資源管理;傳統產業高值化,0.971;0.004;0.003;0.002;0.002
MP1021-0024,能源國家型科技計畫-自主式分散型區域電力控管技術發展與應用(1/4),能源,能源,0.991,能源;國家標準檢驗;產業人才培育;農業;氣候變遷與減碳,0.991;0.002;0.001;0.001;0.001
CP10801-0005,醫療器材產業加速新創與躍升國際推動計畫(2/4),生技醫藥與精準醫療,生技醫藥與精準醫療,0.992,生技醫藥與精準醫療;長照與社會福利;產業人才培育;工研院與A+;科研設施,0.992;0.001;0.001;0.001;0.001
MP10501-0323,優化中小企業科技加值應用環境之策略佈局計畫(4/4),政策規劃與推動,政策規劃與推動,0.984,政策規劃與推動;災害防救;中小（堅）企業輔導;數位轉型與智慧政府;創新創業,0.984;0.002;0.002;0.001;0.001
MP10802-0183,智慧內容創新應用發展計畫(1/4),數位內容,數位內容,0.972,數位內容;網路通訊/4G/5G/5G+/6G;水資源管理;傳統產業高值化;設計,0.972;0.003;0.002;0.002;0.002
MP10704-0319,高中職學術連網全面優化頻寬提升計畫(3/4),網路通訊/4G/5G/5G+/6G,網路通訊/4G/5G/5G+/6G,0.979,網路通訊/4G/5G/5G+/6G;產業人才培育;校園人才培育;災害防救;AI、雲端、巨量資料,0.979;0.415;0.009;0.005;0.005
MP10704-0342,普及國民寬頻上網環境計畫(3/4),網路通訊/4G/5G/5G+/6G,網路通訊/4G/5G/5G+/6G,0.989,網路通訊/4G/5G/5G+/6G;長照與社會福利;產業人才培育;災害防救;國家標準檢驗,0.989;0.002;0.002;0.002;0.001
CP1023-0028,颱風洪水研究發展計畫(1/4),災害防救,災害防救,0.992,災害防救;網路通訊/4G/5G/5G+/6G;氣候變遷與減碳;物聯網;政策規劃與推動,0.992;0.002;0.001;0.001;0.001
MP10401-0163,傳統產業亮點維新計畫(3/4),傳統產業高值化,傳統產業高值化,0.972,傳統產業高值化;運輸載具;化工材料與循環經濟;電商與物流;食品安全與食品科技,0.972;0.007;0.003;0.003;0.003
MP10903-0017,雲世代產業數位轉型(1/4)-輔導小微型企業數位轉型及永續發展計畫,數位轉型與智慧政府,數位轉型與智慧政府,0.987,數位轉型與智慧政府;產業人才培育;電商與物流;中小（堅）企業輔導;生技醫藥與精準醫療,0.987;0.002;0.002;0.001;0.001
CP10301-0009,國立中科實驗高級中學維運計畫(1/1),校園人才培育,校園人才培育,0.971,校園人才培育;產業人才培育;人才補助與延攬;政策規劃與推動;網路通訊/4G/5G/5G+/6G,0.971;0.004;0.003;0.003;0.003
MP10802-0052,紡織產業科技發展綱要計畫(材料化工之民生應用產業發展綱要計畫)(1/4),化工材料與循環經濟,化工材料與循環經濟,0.974,化工材料與循環經濟;氣候變遷與減碳;水資源管理;農業;傳統產業高值化,0.974;0.003;0.002;0.002;0.002
MP10802-0017,創新前瞻技術研究綱要計畫(2/4),工研院與A+,工研院與A+,0.934,工研院與A+;產業人才培育;生技醫藥與精準醫療;太空/衛星;智慧製造,0.934;0.01;0.008;0.006;0.006
MP10602-0062,放射性廢棄物貯存與處置安全管制技術發展(3/4),能源,能源,0.991,能源;國家標準檢驗;產業人才培育;氣候變遷與減碳;農業,0.991;0.002;0.001;0.001;0.001
MP10212-0028,技術服務業發展計畫(3/4),設計,設計,0.956,設計;數位內容;傳統產業高值化;政策規劃與推動;工研院與A+,0.956;0.006;0.004;0.004;0.004
MP10602-0229,促進健康老化(Healthy Aging)及產業升級：新藥及保健食品之研發(4/4),生技醫藥與精準醫療,生技醫藥與精準醫療,0.992,生技醫藥與精準醫療;長照與社會福利;產業人才培育;工研院與A+;文化,0.992;0.001;0.001;0.001;0.001
MP10902-0121,推動數位經濟發展之通訊傳播匯流政策及法制革新計畫(1/5),政策規劃與推動,政策規劃與推動,0.984,政策規劃與推動;中小（堅）企業輔導;災害防救;數位轉型與智慧政府;創新創業,0.984;0.002;0.002;0.001;0.001
MP10603-0038,因應食安五環建構校園午餐之農安監控及供應體系(2/4)-健全科技支援體系,食品安全與食品科技,食品安全與食品科技,0.968,食品安全與食品科技;氣候變遷與減碳;農業;生技醫藥與精準醫療;化工材料與循環經濟,0.968;0.004;0.004;0.003;0.003
CP10601-0005,新世代農業生物保護劑之開發(2/4),農業,農業,0.974,農業;農業生技;電商與物流;能源;食品安全與食品科技,0.974;0.003;0.003;0.003;0.003
MP10402-0031,國家生技研究園區開發計畫(3/6),生技醫藥與精準醫療,生技醫藥與精準醫療,0.992,生技醫藥與精準醫療;產業人才培育;長照與社會福利;工研院與A+;科研設施,0.992;0.001;0.001;0.001;0.001
MP1022-0156,能源國家型科技計畫-再生能源產業推動計畫(2/4),能源,能源,0.992,能源;國家標準檢驗;產業人才培育;農業;氣候變遷與減碳,0.992;0.002;0.001;0.001;0.001
MP10704-0237,次世代環境智能系統技術研發與應用推動計畫(2/4),虛擬實境;物聯網,虛擬實境;物聯網,0.901;0.951,物聯網;虛擬實境;資安;AI、雲端、巨量資料;災害防救,0.951;0.901;0.015;0.014;0.014
MP10401-0189,新世代化學材料產業輔導與推廣計畫(1/4),化工材料與循環經濟,化工材料與循環經濟,0.974,化工材料與循環經濟;氣候變遷與減碳;水資源管理;農業;傳統產業高值化,0.974;0.003;0.003;0.002;0.002
MP10704-0056,氣象資訊之智慧應用服務計畫(I)(4/4),災害防救,災害防救,0.991,災害防救;網路通訊/4G/5G/5G+/6G;氣候變遷與減碳;物聯網;政策規劃與推動,0.991;0.002;0.001;0.001;0.001
MP1022-0172,金屬產業發展推動計畫(1/4),傳統產業高值化,傳統產業高值化,0.973,傳統產業高值化;運輸載具;化工材料與循環經濟;電商與物流;能源,0.973;0.007;0.003;0.003;0.003
MP10902-0072,材料與化工產業發展優化計畫(1/4),化工材料與循環經濟,化工材料與循環經濟,0.973,化工材料與循環經濟;氣候變遷與減碳;水資源管理;農業;傳統產業高值化,0.973;0.003;0.003;0.002;0.002
MP10501-0053,產業結構優化躍升計畫(4/4),中小（堅）企業輔導,中小（堅）企業輔導,0.978,中小（堅）企業輔導;產業人才培育;創新創業;數位轉型與智慧政府;工研院與A+,0.978;0.004;0.002;0.002;0.002
MP10212-0041,建築資訊整合分享與應用研發推廣計畫(1/4)-Building Information Modeling,災害防救,災害防救,0.991,災害防救;網路通訊/4G/5G/5G+/6G;政策規劃與推動;氣候變遷與減碳;物聯網,0.991;0.002;0.001;0.001;0.001
MP10902-0114,建構高值化農產素材開發與產業鏈結服務計畫(2/4),食品安全與食品科技,食品安全與食品科技,0.967,食品安全與食品科技;氣候變遷與減碳;農業;生技醫藥與精準醫療;化工材料與循環經濟,0.967;0.005;0.004;0.003;0.003
MP10802-0120,人工智慧技術拔尖與產業領航計畫(3/4),AI、雲端、巨量資料,AI、雲端、巨量資料,0.975,AI、雲端、巨量資料;產業人才培育;虛擬實境;晶片半導體;數位轉型與智慧政府,0.975;0.003;0.003;0.002;0.002
MP10501-0442,中小企業服務優化與特色加值計畫(3/4),中小（堅）企業輔導,中小（堅）企業輔導,0.979,中小（堅）企業輔導;產業人才培育;數位轉型與智慧政府;創新創業;政策規劃與推動,0.979;0.003;0.002;0.002;0.002
MP10212-0219,資通訊軟體創新人才推升計畫(1/4),AI、雲端、巨量資料;產業人才培育,AI、雲端、巨量資料;產業人才培育,0.95;0.922,AI、雲端、巨量資料;產業人才培育;晶片半導體;虛擬實境;資安,0.95;0.922;0.011;0.009;0.009
MP1022-0291,網路社群創新型服務發展計畫(3/4),電商與物流,電商與物流,0.974,電商與物流;智慧農業;數位轉型與智慧政府;農業;網路通訊/4G/5G/5G+/6G,0.974;0.004;0.003;0.003;0.002
MP10602-0033,數位內容跨域創新應用推動計畫(3/4),數位內容,數位內容,0.973,數位內容;網路通訊/4G/5G/5G+/6G;傳統產業高值化;水資源管理;設計,0.973;0.003;0.003;0.002;0.002
MP10902-0171,台灣罕病及難症之診斷治療與藥物開發(1/4),生技醫藥與精準醫療,生技醫藥與精準醫療,0.991,生技醫藥與精準醫療;長照與社會福利;產業人才培育;工研院與A+;文化,0.991;0.001;0.001;0.001;0.001
MP10403-0007,臺灣經典電影數位修復及加值利用計畫(1/4),數位內容,數位內容,0.972,數位內容;網路通訊/4G/5G/5G+/6G;傳統產業高值化;產業人才培育;水資源管理,0.972;0.003;0.002;0.002;0.002
MP1021-0133,機械與運輸產業科技發展綱要計畫(4/4),傳統產業高值化;運輸載具,傳統產業高值化;運輸載具,0.947;0.954,運輸載具;傳統產業高值化;國防;化工材料與循環經濟;設計,0.954;0.947;0.019;0.011;0.011
MP10501-0186,發展畜禽產業加值及永續友善環境綱要計畫(1/4),農業,農業,0.975,農業;食品安全與食品科技;電商與物流;能源;農業生技,0.975;0.003;0.003;0.003;0.003
